Date,AAPL,MSFT,GOOGL,High,Low,SMA_10,SMA_50,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,ATR_14,ADX_14
2023-06-05,178.03297424316406,332.06805419921875,125.55485534667967,181.59363372802736,174.47231475830077,174.60179443359374,167.15971954345704,173.13049143272377,67.81950184222303,3.154273422102875,2.790241139502232,0.36403228260064324,173.1168685913086,178.8116265600456,167.42211062257158,6.961188754405764,30.369786507465502
2023-06-06,177.66619873046875,329.8341064453125,126.85015106201172,181.21952270507813,174.11287475585937,175.09848022460938,167.5400424194336,173.56246355631853,66.45986739172096,3.132818585202415,2.8587566286422685,0.2740619565601463,173.41178970336915,179.3999134091879,167.42366599755042,6.971578696892407,30.678468107933302
2023-06-07,176.28814697265625,319.6528015136719,122.05752563476562,179.81390991210938,172.76238403320312,175.71908721923828,167.93181091308594,173.8220524531126,61.47327579078224,2.970377548999579,2.881080812713731,0.08929673628584833,173.72344436645508,179.62854910080438,167.8183396321058,6.977289209893397,30.260905181170408
2023-06-08,179.0144500732422,321.5111694335937,121.6988296508789,182.59473907470704,175.43416107177734,176.58456573486328,168.39057983398436,174.31656651217259,66.78327475599355,3.0267413429159262,2.91021291875417,0.11652842416175613,174.0828079223633,180.34647115071044,167.81914469401613,6.990381266538847,30.62293856007482
2023-06-09,179.40109252929688,323.0235290527344,121.78851318359376,182.9891143798828,175.81307067871094,177.37469940185548,168.7953042602539,174.80080708523204,67.46807236719195,3.067251504525217,2.9416206359083796,0.12563086861683725,174.45209884643555,181.04678343778323,167.85741425508786,7.003642869012634,31.055575391168222
2023-06-12,182.20669555664065,328.0251770019531,123.1934051513672,185.85082946777348,178.56256164550783,178.20349731445313,169.22465881347657,175.50612979679477,71.9819044453568,3.287844590536821,3.010865426834068,0.276979163702753,175.0082649230957,182.22003826125714,167.79649158493427,7.023973222816422,32.091833054624644
2023-06-13,181.73085021972656,330.4370422363281,123.38273620605467,185.3654672241211,178.09623321533203,178.79932098388673,169.59420318603514,176.09896031326448,70.20274858018696,3.3852464448315516,3.085741630433565,0.2995048143979866,175.56542358398437,183.0419389947749,168.08890817319383,7.041491850385896,32.804242206282154
2023-06-14,182.3653259277344,333.451904296875,123.22330474853516,186.0126324462891,178.7180194091797,179.4635482788086,169.95129028320312,176.69575703845211,71.22405059755705,3.4735935786661685,3.1633120200800855,0.310281558586083,176.15430603027343,183.82263666448068,168.48597539606618,7.05957193515186,33.60921992474238
2023-06-15,184.4075927734375,344.0879211425781,124.63816833496094,188.09574462890626,180.71944091796874,180.05045013427736,170.35991516113282,177.43021758464118,74.27990541418411,3.666142180288773,3.2638780521218234,0.4022641281669497,176.81456832885743,184.92496152996654,168.70417512774833,7.082195633422264,34.785239851656044
2023-06-16,183.3269805908203,338.3843994140625,123.08381652832033,186.99352020263672,179.6604409790039,180.44403076171875,170.783955078125,177.99181406142014,70.04151790582071,3.6890172675018107,3.348905895197821,0.3401113723039897,177.30381698608397,185.73953821370492,168.86809575846303,7.100115889865875,35.28260526544949
2023-06-20,183.41619873046875,334.1536865234375,122.65535736083984,187.08452270507811,179.74787475585939,180.98235321044922,171.19195892333985,178.50842212513905,70.1927414252454,3.6720163781107544,3.4135279917804078,0.25848838633034665,177.79207382202148,186.45299363553107,169.13115400851188,7.1170110369625075,35.765695908180874
2023-06-21,182.3752593994141,329.7154846191406,120.11457824707033,186.02276458740238,178.7277542114258,181.45325927734376,171.63121856689452,178.87669234173669,66.00632860575877,3.53381235712925,3.4375848648501766,0.09622749227907335,178.27586975097657,186.825093700235,169.72664580171815,7.129725275463512,35.625023021527085
2023-06-22,185.38905334472656,335.7945861816406,122.70518493652344,189.0968344116211,181.68127227783202,182.36334991455078,172.15510803222656,179.4969171991643,71.33661087329617,3.625678098640094,3.4752035116081603,0.15047458703193373,179.04121856689454,187.2532842765301,170.82915285725898,7.150142193915338,36.24431981675034
2023-06-23,185.0718231201172,331.1586303710937,121.89810180664062,188.77325958251953,181.37038665771485,182.96908721923828,172.68651336669922,180.02786062020743,70.09078105416029,3.631028298730854,3.506368469032699,0.12465982969815492,179.77682647705078,187.35794187847276,172.1957110756288,7.168194388978862,36.64438842712245
2023-06-26,183.6739654541016,324.8125915527344,117.9125518798828,187.34744476318363,180.00048614501955,183.39637451171876,173.08185150146485,180.37510869962594,64.72661490871238,3.4823307978237494,3.501560934790909,-0.019230136967159694,180.38553695678712,187.118051774922,173.65302213865223,7.180963262492092,36.26043461108546
2023-06-27,186.4399261474609,330.7138366699219,117.90259552001952,190.16872467041014,182.71112762451168,183.81969757080077,173.53943908691406,180.95271036132453,69.672516113026,3.546791662420077,3.510607080316743,0.03618458210333397,181.01159744262696,187.54811953007516,174.47507535517877,7.200722818449691,36.60056271380338
2023-06-28,187.61965942382807,331.9790954589844,119.74591064453124,191.37205261230463,183.8672662353515,184.40857849121093,174.02022583007812,181.58765789108676,71.50757585163461,3.6509856876411675,3.5386828017816283,0.11230288585953918,181.60394973754882,188.2797644568897,174.92813501820794,7.222441644057079,37.17417882258379
2023-06-29,187.9567413330078,331.1882629394531,118.66980743408205,191.71587615966797,184.19760650634765,184.96772003173828,174.48320098876954,182.1942372665078,72.02837212381493,3.717902233630525,3.574526688151408,0.14337554547911724,182.21563415527345,188.86578255455038,175.56548575599652,7.243572216147309,37.779913679112994
2023-06-30,192.2990264892578,336.6150207519531,119.26763916015624,196.14500701904296,188.45304595947266,185.75686340332032,175.0100537109375,183.15659814486497,77.68651021847157,4.074353588580806,3.6744920682372877,0.3998615203435181,182.90365676879884,190.6471559456807,175.16015759191697,7.311050321139298,39.13453388036522
2023-07-03,190.8020477294922,334.0944519042969,119.46692657470705,194.61808868408204,186.98600677490234,186.5043701171875,175.52637145996093,183.88473620054376,72.2598243320626,4.187776104203493,3.777148875430529,0.4106272287729644,183.4742004394531,191.76088304106125,175.18751783784498,7.333981148856471,39.63271692525105
2023-07-05,189.6817626953125,334.2525634765625,121.31024169921876,193.47539794921875,185.88812744140625,187.13092651367188,176.05255828857423,184.43683396195033,68.40861228794397,4.1395484871733,3.8496287977790837,0.28991968939421664,184.05663986206054,192.36913305868953,175.74414666543154,7.352073245924758,39.554200386226725
2023-07-06,190.15760803222656,337.33660888671875,119.6761703491211,193.9607601928711,186.35445587158202,187.90916137695314,176.58212371826173,184.98166958769093,69.16046085444344,4.092548147576707,3.8982126677386084,0.19433547983809873,184.68121032714845,192.85519375213596,176.50722690216094,7.370232608450782,39.58706072704633
2023-07-07,189.03732299804688,333.3332824707031,119.0484390258789,192.8180694580078,185.25657653808594,188.27398834228515,177.12017181396484,185.3679222934391,65.22476443507125,3.9197183272450786,3.9025137996399026,0.01720452760517599,185.31866912841798,192.72778723818752,177.90955101864844,7.383894059270146,39.063207137006046
2023-07-10,186.98519897460932,328.0054016113281,116.02937316894533,190.7249029541015,183.24549499511713,188.46532592773437,177.6173760986328,185.52194864402674,58.64167393517058,3.5759389923264564,3.8371988381772137,-0.26125984585075734,185.71720657348632,192.56312006626064,178.871293080712,7.3907164806783054,37.64561529315536
2023-07-11,186.4597625732422,328.6380615234375,116.7168960571289,190.18895782470705,182.73056732177733,188.74390563964843,178.01199951171876,185.61126425633296,57.053845896986694,3.223929612525268,3.7145449930468244,-0.4906153805215565,186.07014007568358,192.27496899204942,179.86531115931774,7.395550339410549,36.103955000609005
2023-07-12,188.1352081298828,333.31353759765625,118.50042724609376,191.89791229248047,184.37250396728516,188.91343383789064,178.41498565673828,185.8516398633377,60.70730131640535,3.0450526258885873,3.580646519615177,-0.5355938937265896,186.3665657043457,192.367906368848,180.3652250398434,7.404825909823747,35.19044017360145
2023-07-13,188.89854431152344,338.7106018066406,124.09017181396484,192.6765151977539,185.12057342529297,189.04132232666015,178.83502075195312,186.14182123935538,62.28165524211338,2.931098298986285,3.450736875489399,-0.5196385765031137,186.72495040893554,192.42464714718807,181.025253670683,7.415619900012117,34.56494100885493
2023-07-14,189.0472717285156,341.2608337402344,124.96698760986328,192.82821716308592,185.26632629394527,189.15037536621094,179.27882080078126,186.4185308097516,62.596116451571106,2.8202793091905676,3.324645362229633,-0.5043660530390652,187.0590476989746,192.4736048415356,181.64449055641361,7.426067826378441,34.02858187466143
