Date,AAPL,MSFT,GOOGL
2019-01-02,37.66717529296875,95.31055450439452,52.54352951049805
2019-01-03,33.91525650024414,91.8042449951172,51.08830261230469
2019-01-04,35.363059997558594,96.0739974975586,53.708797454833984
2019-01-07,35.28437042236328,96.19654846191406,53.60169219970703
2019-01-08,35.95698547363281,96.89403533935548,54.07248306274414
2019-01-09,36.56760787963867,98.27957916259766,53.88715362548828
2019-01-10,36.684478759765625,97.64804077148438,53.74666595458984
2019-01-11,36.324310302734375,96.89403533935548,53.03125762939453
2019-01-14,35.778099060058594,96.18712615966795,52.38560104370117
2019-01-15,36.51035690307617,98.97705841064452,54.129276275634766
2019-01-16,36.95638275146485,99.32579040527344,54.27873229980469
2019-01-17,37.17583847045898,100.02330780029295,54.75750350952149
2019-01-18,37.4048080444336,101.52193450927734,55.16502380371094
2019-01-22,36.56521224975586,99.60855865478516,53.73670196533203
2019-01-23,36.71309661865234,100.57938385009766,54.02465438842773
2019-01-24,36.42210388183594,100.09868621826172,54.00423431396485
2019-01-25,37.629024505615234,101.01295471191406,54.87656784057617
2019-01-28,37.28078079223633,99.04302978515624,53.797977447509766
2019-01-29,36.89437103271485,97.0260009765625,53.30974578857422
2019-01-30,39.41553115844727,100.2683563232422,54.70120620727539
2019-01-31,39.69937515258789,98.4303741455078,56.09116744995117
2019-02-01,39.71845626831055,96.87516784667967,55.728981018066406
2019-02-04,40.84666061401367,99.66511535644533,56.8648567199707
2019-02-05,41.545528411865234,101.0601043701172,57.38546752929688
2019-02-06,41.55984115600586,99.93844604492188,55.94171142578125
2019-02-07,40.77272415161133,99.22210693359376,55.09577560424805
2019-02-08,40.82063293457031,99.59912872314452,54.9199104309082
2019-02-11,40.58586883544922,99.20326232910156,54.906959533691406
2019-02-12,40.93561935424805,100.74905395507812,56.17535781860352
2019-02-13,40.765533447265625,100.67365264892578,56.22766876220703
2019-02-14,40.91404724121094,100.75848388671876,56.25606536865234
2019-02-15,40.82302474975586,102.0026397705078,55.779296875
2019-02-19,40.94519805908203,101.9555206298828,56.12205123901367
2019-02-20,41.20869445800781,101.42542266845705,55.82711791992188
2019-02-21,40.976341247558594,103.564697265625,55.011077880859375
2019-02-22,41.43387222290039,105.04132843017578,55.62635040283203
2019-02-25,41.735687255859375,105.62820434570312,55.66471099853516
2019-02-26,41.759647369384766,106.35706329345705,55.89786529541016
2019-02-27,41.88898849487305,106.17724609375,55.94171142578125
2019-02-28,41.47698593139648,106.04471588134766,56.1240463256836
2019-03-01,41.91295623779297,106.51800537109376,57.21857833862305
2019-03-04,42.12374496459961,106.2624282836914,57.46269607543945
2019-03-05,42.04708862304688,105.73234558105467,58.24834442138672
2019-03-06,41.80515670776367,105.7796630859375,58.03661346435547
2019-03-07,41.32127380371094,104.49234771728516,57.334659576416016
2019-03-08,41.41949081420898,104.6059341430664,57.29081726074219
2019-03-11,42.85435485839844,106.80196380615234,58.750030517578125
2019-03-12,43.33583450317383,107.5497589111328,59.64627456665039
2019-03-13,43.52747344970703,108.38274383544922,59.7364501953125
2019-03-14,44.01134490966797,108.46794128417967,59.411128997802734
2019-03-15,44.58385848999024,109.71742248535156,59.30002975463867
2019-03-18,45.03899383544922,111.28874206542967,59.212852478027344
2019-03-19,44.68206787109375,111.36447143554688,59.90583801269531
2019-03-20,45.07253646850586,111.2414093017578,61.100006103515625
2019-03-21,46.73256301879883,113.79715728759766,61.583255767822266
2019-03-22,45.76480865478516,110.79650115966795,60.164398193359375
2019-03-25,45.21146774291992,111.37391662597656,59.65275192260742
2019-03-26,44.74434661865234,111.6105499267578,59.27711486816406
2019-03-27,45.14678955078125,110.53147888183594,58.68775177001953
2019-03-28,45.2066764831543,110.68291473388672,58.40179061889648
2019-03-29,45.50131988525391,111.6389617919922,58.631954193115234
2019-04-01,45.810325622558594,112.66128540039062,59.73246383666992
2019-04-02,46.476261138916016,112.82217407226562,60.05928039550781
2019-04-03,46.79486083984375,113.5605010986328,60.32183074951172
2019-04-04,46.87629699707031,112.98310089111328,60.75226974487305
2019-04-05,47.19009017944336,113.48477172851562,60.35371017456055
2019-04-08,47.93267822265625,113.52265167236328,60.1957893371582
2019-04-09,47.78894805908203,112.90737915039062,59.91729736328125
2019-04-10,48.057247161865234,113.76873779296876,60.1046142578125
2019-04-11,47.65719604492188,113.90127563476562,60.26104736328125
2019-04-12,47.63804244995117,114.48815155029295,60.91567611694336
2019-04-15,47.72427749633789,114.58279418945312,61.10498809814453
2019-04-16,47.72907638549805,114.3177719116211,61.37302017211914
2019-04-17,48.65849304199219,115.26432800292967,61.78303146362305
2019-04-18,48.83337020874024,116.7788543701172,61.84929275512695
2019-04-22,48.99385452270508,117.14801025390624,62.461570739746094
2019-04-23,49.70050430297852,118.73826599121094,63.30002975463867
2019-04-24,49.623870849609375,118.33124542236328,62.77493667602539
2019-04-25,49.173526763916016,122.25007629394533,63.13811874389648
2019-04-26,48.93877029418945,122.9505386352539,63.64030075073242
2019-04-29,49.01301574707031,122.83694458007812,64.57591247558594
2019-04-30,48.0692138671875,123.62258911132812,59.73147201538086
2019-05-01,50.42873764038086,121.04792022705078,58.4541015625
2019-05-02,50.100547790527344,119.4671401977539,58.11483001708984
2019-05-03,50.723365783691406,122.0134048461914,59.26266860961914
2019-05-06,49.94005584716797,121.30348205566406,59.457462310791016
2019-05-07,48.59381866455078,118.8139877319336,58.7301025390625
2019-05-08,48.60340118408203,118.80452728271484,58.32756042480469
2019-05-09,48.081199645996094,118.79505920410156,58.18756103515625
